wr,L,R,T,B,max_margin,pred_style,S_frame,S_side,S_top_bottom,S_hybrid,sample_id
0.9012916684150696,0.15498781204223633,0.058313727378845215,0.14965680241584778,0.406890869140625,B,top-bottom,0.12764856219291687,0.2879818379878998,0.6340082883834839,0.4272971749305725,0
0.6156323552131653,0.015231698751449585,0.0010000000474974513,0.14642852544784546,0.07668405771255493,T,top-bottom,0.03107650764286518,0.04892831668257713,0.203847274184227,0.09986943751573563,1
0.5699067115783691,0.0010000000474974513,0.02690446376800537,0.11434739828109741,0.26401829719543457,B,top-bottom,0.05018490552902222,0.08546461164951324,0.38654547929763794,0.18175797164440155,2
0.6698567271232605,0.0010000000474974513,0.0035749077796936035,0.06814974546432495,0.1709863543510437,B,top-bottom,0.02642567828297615,0.029548443853855133,0.25371313095092773,0.08658422529697418,3
0.934512734413147,0.5568464994430542,0.08012056350708008,0.12674233317375183,0.43900662660598755,L,side,0.19954238831996918,0.9948021769523621,0.7525147795677185,0.8652186393737793,4
0.7232837677001953,0.0010000000474974513,0.03664463758468628,0.0581422820687294,0.0010000000474974513,T,top-bottom,0.011991139501333237,0.07107457518577576,0.10762057453393936,0.08745905756950378,5
0.7346111536026001,0.0010000000474974513,0.007185399532318115,0.06729049980640411,0.3224560618400574,B,top-bottom,0.033826619386672974,0.05110837519168854,0.5274071097373962,0.16417953372001648,6
0.6001607179641724,0.0010000000474974513,0.024828553199768066,0.06362791359424591,0.1723160743713379,B,top-bottom,0.032629165798425674,0.06748579442501068,0.26184946298599243,0.13293276727199554,7
0.7422904968261719,0.0010000000474974513,0.026021182537078857,0.05112927779555321,0.3966771364212036,B,top-bottom,0.037975460290908813,0.09081877022981644,0.6758175492286682,0.2477436512708664,8
0.8629254698753357,0.06157389655709267,0.013009071350097656,0.0010000000474974513,0.0010000000474974513,L,side,0.0066543882712721825,0.10062576085329056,0.00845829676836729,0.02917400375008583,9
0.3632580637931824,0.0010000000474974513,0.05388319492340088,0.07754451036453247,0.0010000000474974513,T,top-bottom,0.01664600521326065,0.10404420644044876,0.1442684382200241,0.12251651287078857,10
0.5380071401596069,0.048925235867500305,0.007176995277404785,0.0010000000474974513,0.0010000000474974513,L,side,0.0045149968937039375,0.08252383768558502,0.0066102235578000546,0.023355962708592415,11
0.9579933285713196,0.3876471221446991,0.17757582664489746,0.26411837339401245,0.3849831223487854,L,side,0.2594727873802185,0.6206143498420715,0.5381972193717957,0.5779384970664978,12
0.5544861555099487,0.0010000000474974513,0.005096614360809326,0.05374855920672417,0.11802542209625244,B,top-bottom,0.020834023132920265,0.02555130422115326,0.17005658149719238,0.06591788679361343,13
0.5399798154830933,0.0010000000474974513,0.014043331146240234,0.08284938335418701,0.11919581890106201,B,top-bottom,0.02992001734673977,0.044682517647743225,0.14977729320526123,0.08180725574493408,14
0.6910514235496521,0.051859110593795776,0.030947446823120117,0.08079709112644196,0.0010000000474974513,T,top-bottom,0.026567265391349792,0.07676815241575241,0.15291540324687958,0.10834681987762451,15
0.5630738735198975,0.0010000000474974513,0.039703965187072754,0.06360293924808502,0.13010573387145996,B,top-bottom,0.035133372992277145,0.0900380089879036,0.18737837672233582,0.1298891007900238,16
0.5461488962173462,0.0010000000474974513,0.0010000000474974513,0.09275113791227341,0.05347675085067749,T,top-bottom,0.017737343907356262,0.015622789971530437,0.12437064945697784,0.04407966136932373,17
0.4592266082763672,0.17340412735939026,0.07414209842681885,0.09443256258964539,0.0010000000474974513,L,side,0.05504816770553589,0.26235702633857727,0.19393323361873627,0.22556538879871368,18
0.7007995843887329,0.02030298113822937,0.021844565868377686,0.004778265953063965,0.157234787940979,B,top-bottom,0.020202763378620148,0.039279140532016754,0.2834147810935974,0.10550966113805771,19
0.915962815284729,0.0010000000474974513,0.0010000000474974513,0.10543082654476166,0.28076666593551636,B,top-bottom,0.039890509098768234,0.039619751274585724,0.4212353527545929,0.12918683886528015,20
0.5549905896186829,0.052790045738220215,0.09244698286056519,0.0010000000474974513,0.0010000000474974513,R,side,0.017580609768629074,0.12437254190444946,0.015523702837526798,0.0439399853348732,21
0.30419158935546875,0.055554285645484924,0.06939578056335449,0.11418115347623825,0.0010000000474974513,T,top-bottom,0.03983849659562111,0.09198708832263947,0.21722108125686646,0.14135605096817017,22
0.5449237823486328,0.03787325322628021,0.06743162870407104,0.0010000000474974513,0.0010000000474974513,R,side,0.012895485386252403,0.0912783294916153,0.011530488729476929,0.03244200721383095,23
0.2981138229370117,0.027027010917663574,0.0010000000474974513,0.0920383632183075,0.0010000000474974513,T,top-bottom,0.011659204959869385,0.057152457535266876,0.16767175495624542,0.09789204597473145,24
0.5292330980300903,0.0010000000474974513,0.0010000000474974513,0.09720941632986069,0.14371919631958008,B,top-bottom,0.02975454367697239,0.02509286254644394,0.18112702667713165,0.06741658598184586,25
0.13277608156204224,0.0010000000474974513,0.04225611686706543,0.0663641095161438,0.0010000000474974513,T,top-bottom,0.013662225566804409,0.08199742436408997,0.1229810118675232,0.10041975229978561,26
0.6906668543815613,0.0010000000474974513,0.023963332176208496,0.04184948652982712,0.3345893621444702,B,top-bottom,0.03234465420246124,0.07997788488864899,0.5712776184082031,0.2137511968612671,27
0.5811271667480469,0.0010000000474974513,0.040436625480651855,0.07556307315826416,0.0372389554977417,T,top-bottom,0.025365302339196205,0.08326613157987595,0.11036603152751923,0.09586320072412491,28
0.5067278146743774,0.0010000000474974513,0.05665093660354614,0.123566634953022,0.07282519340515137,T,top-bottom,0.041646808385849,0.120810866355896,0.16992488503456116,0.14327865839004517,29
0.0,0.020166397094726562,0.04075264930725098,0.08517191559076309,0.0010000000474974513,T,top-bottom,0.02113218791782856,0.06583884358406067,0.15860135853290558,0.10218673944473267,30
0.6396127343177795,0.10427248477935791,0.0010000000474974513,0.2473403960466385,0.19947654008865356,T,top-bottom,0.09082464873790741,0.23157218098640442,0.29615873098373413,0.26188188791275024,31
0.6190348267555237,0.14423690736293793,0.019790589809417725,0.0447084940969944,0.0010000000474974513,L,side,0.02482178620994091,0.24836480617523193,0.09607803821563721,0.15447460114955902,32
0.6051658391952515,0.08440637588500977,0.0010000000474974513,0.03793962299823761,0.0010000000474974513,L,side,0.01394619233906269,0.1550254374742508,0.07603196054697037,0.10856743901968002,33
0.587173581123352,0.1072608232498169,0.008804678916931152,0.0010000000474974513,0.0010000000474974513,L,side,0.007016515359282494,0.1862257421016693,0.012606550939381123,0.048452701419591904,34
0.0,0.3149551451206207,0.07104325294494629,0.0010000000474974513,0.0010000000474974513,L,side,0.03247671574354172,0.5102846026420593,0.039599839597940445,0.14215199649333954,35
0.1755741834640503,0.1988639533519745,0.00643080472946167,0.0010000000474974513,0.0010000000474974513,L,side,0.009361851960420609,0.35301047563552856,0.02152947708964348,0.08717872947454453,36
