wr,L,R,T,B,max_margin,pred_style,S_frame,S_side,S_top_bottom,S_hybrid,sample_id
0.8816039562225342,0.14255046844482422,0.062148869037628174,0.1985585242509842,0.07557034492492676,T,top-bottom,0.09231999516487122,0.2342846393585205,0.31741899251937866,0.27270200848579407,0
0.6461721658706665,0.16034457087516785,0.0010000000474974513,0.16682276129722595,0.06025207042694092,T,side,0.06223484128713608,0.3105277121067047,0.26821377873420715,0.2885962724685669,1
0.653760552406311,0.10080531239509583,0.0038214921951293945,0.13856598734855652,0.15640658140182495,B,side,0.07040363550186157,0.2078896313905716,0.18114174902439117,0.19405537843704224,2
0.6646839380264282,0.0010000000474974513,0.015861988067626953,0.12660029530525208,0.12129944562911987,T,top-bottom,0.037175826728343964,0.05254155397415161,0.1325271725654602,0.08344569057226181,3
0.8786429762840271,0.48454582691192627,0.12683433294296265,0.13286446034908295,0.1704007387161255,L,side,0.15432336926460266,0.8010415434837341,0.26156777143478394,0.45774081349372864,4
0.7066882252693176,0.0010000000474974513,0.04594314098358154,0.11825066804885864,0.0010000000474974513,T,top-bottom,0.017580661922693253,0.09382272511720657,0.216745525598526,0.14260314404964447,5
0.7384979724884033,0.0010000000474974513,0.02969217300415039,0.12003421783447266,0.11135977506637573,T,top-bottom,0.039879828691482544,0.0757853165268898,0.13004299998283386,0.09927411377429962,6
0.6131938695907593,0.0010000000474974513,0.027714192867279053,0.09650389850139618,0.13613486289978027,B,top-bottom,0.03848345950245857,0.0723494291305542,0.17071105539798737,0.1111343652009964,7
0.7510116100311279,0.0010000000474974513,0.04382824897766113,0.10232481360435486,0.11289840936660767,B,top-bottom,0.04233027249574661,0.09961316734552383,0.12584011256694794,0.11196129769086838,8
0.8541637659072876,0.05569400265812874,0.0447307825088501,0.0010000000474974513,0.0010000000474974513,L,side,0.013150888495147228,0.0646645799279213,0.011042478494346142,0.026721850037574768,9
0.3773408532142639,0.0010000000474974513,0.05441218614578247,0.12990951538085938,0.0010000000474974513,T,top-bottom,0.020169436931610107,0.1102328896522522,0.23857834935188293,0.16217021644115448,10
0.5530248880386353,0.11120526492595673,0.0010933876037597656,0.002005845308303833,0.0010000000474974513,L,side,0.005044003948569298,0.1995953619480133,0.0140403863042593,0.05293766036629677,11
0.9540171027183533,0.4143794775009155,0.10743176937103271,0.3080962300300598,0.3707488179206848,L,side,0.24140770733356476,0.7278221249580383,0.4730520248413086,0.5867689251899719,12
0.5914133787155151,0.0010000000474974513,0.012697219848632812,0.07792393863201141,0.0924726128578186,B,top-bottom,0.026159482076764107,0.039094649255275726,0.10548127442598343,0.06421645730733871,13
0.6011350154876709,0.0010000000474974513,0.0010000000474974513,0.11480794101953506,0.1126442551612854,T,top-bottom,0.029178429394960403,0.02374522015452385,0.11673889309167862,0.05264969542622566,14
0.6957924365997314,0.0476544052362442,0.037118732929229736,0.14746782183647156,0.0010000000474974513,T,top-bottom,0.031157203018665314,0.07092972099781036,0.27311939001083374,0.13918434083461761,15
0.6081823110580444,0.0015969276428222656,0.03283393383026123,0.08851172775030136,0.11355143785476685,B,top-bottom,0.037006109952926636,0.07802985608577728,0.13702629506587982,0.10340281575918198,16
0.5956228375434875,0.04867929220199585,0.0010000000474974513,0.11362418532371521,0.047972798347473145,T,top-bottom,0.032782506197690964,0.10298243165016174,0.17111322283744812,0.13274657726287842,17
0.4503163695335388,0.19828712940216064,0.09889638423919678,0.12587949633598328,0.0010000000474974513,L,side,0.07067090272903442,0.290487676858902,0.2555014491081238,0.2724335193634033,18
0.6936310529708862,0.02154269814491272,0.03658854961395264,0.12946408987045288,0.07528918981552124,T,top-bottom,0.044871240854263306,0.06910055875778198,0.17861713469028473,0.11109700053930283,19
0.9007309079170227,0.0010000000474974513,0.0010000000474974513,0.1614164412021637,0.16752523183822632,B,top-bottom,0.04185294732451439,0.033894166350364685,0.172612264752388,0.07648888230323792,20
0.5609808564186096,0.0967496931552887,0.07236665487289429,0.0025534331798553467,0.0010000000474974513,L,side,0.022025691345334053,0.11661146581172943,0.020707815885543823,0.04914029687643051,21
0.31987661123275757,0.08906152844429016,0.07089418172836304,0.15877598524093628,0.0010000000474974513,T,top-bottom,0.05185700207948685,0.11957300454378128,0.30099233984947205,0.1897117793560028,22
0.5543273687362671,0.07727180421352386,0.05255556106567383,0.0010000000474974513,0.0010000000474974513,L,side,0.016391310840845108,0.09724479913711548,0.013982736505568027,0.036874767392873764,23
0.3335561156272888,0.027027010917663574,0.0010000000474974513,0.13836415112018585,0.0010000000474974513,T,top-bottom,0.013483420014381409,0.06178503483533859,0.2510581612586975,0.12454572319984436,24
0.5844576358795166,0.0010000000474974513,0.0010000000474974513,0.10892659425735474,0.12207609415054321,B,top-bottom,0.029530610889196396,0.024100270122289658,0.13279569149017334,0.05657218396663666,25
