wr,L,R,T,B,max_margin,pred_style,S_frame,S_side,S_top_bottom,S_hybrid,sample_id
0.9124778509140015,0.06305215507745743,0.03841853141784668,0.13548558950424194,0.48981648683547974,B,top-bottom,0.09097389131784439,0.14528927206993103,0.7834283113479614,0.33737772703170776,0
0.5334717035293579,0.17480722069740295,0.0010000000474974513,0.09011964499950409,0.04427003860473633,L,side,0.04535359889268875,0.32729196548461914,0.14438004791736603,0.2173808366060257,1
0.5645864009857178,0.0010000000474974513,0.0010000000474974513,0.10687635838985443,0.2565963864326477,B,top-bottom,0.03900257125496864,0.037347275763750076,0.3765724003314972,0.1185915395617485,2
0.6453335285186768,0.0010000000474974513,0.0010000000474974513,0.05521925166249275,0.19328093528747559,B,top-bottom,0.023317188024520874,0.025850018486380577,0.30393028259277344,0.08863748610019684,3
0.8942562341690063,0.31553542613983154,0.11741495132446289,0.12652981281280518,0.3821774125099182,B,top-bottom,0.17745999991893768,0.5249025225639343,0.6299905180931091,0.575050950050354,4
0.7133132815361023,0.0010000000474974513,0.0010000000474974513,0.03371597081422806,0.0010000000474974513,T,top-bottom,0.0020952769555151463,0.004471596796065569,0.06008874997496605,0.016391847282648087,5
0.7319255471229553,0.0010000000474974513,0.004868566989898682,0.03730420023202896,0.2860238552093506,B,top-bottom,0.023067466914653778,0.04029622673988342,0.4855864644050598,0.13988317549228668,6
0.5560596585273743,0.0010000000474974513,0.002322673797607422,0.04447310417890549,0.11262989044189453,B,top-bottom,0.017418302595615387,0.019091112539172173,0.16748759150505066,0.0565466582775116,7
0.7410507202148438,0.0010000000474974513,0.05181384086608887,0.02734682522714138,0.3794935345649719,B,top-bottom,0.03800874203443527,0.1331489533185959,0.6664922833442688,0.29789721965789795,8
0.8575230240821838,0.02263062074780464,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,L,side,0.0017239884473383427,0.04013511911034584,0.003363062161952257,0.01161795575171709,9
0.3464120626449585,0.0010000000474974513,0.047894418239593506,0.07106249034404755,0.0010000000474974513,T,top-bottom,0.015056276693940163,0.09261620044708252,0.13200192153453827,0.1105690523982048,10
0.5139912366867065,0.04362395405769348,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,L,side,0.0024271300062537193,0.07792311906814575,0.005462395492941141,0.0206312108784914,11
0.9098392724990845,0.17770975828170776,0.10160815715789795,0.22326862812042236,0.397335410118103,B,top-bottom,0.17068657279014587,0.3006514608860016,0.5645206570625305,0.4119756817817688,12
0.5355446338653564,0.0010000000474974513,0.0010000000474974513,0.025328367948532104,0.07165628671646118,B,top-bottom,0.010322031565010548,0.010698465630412102,0.10891862213611603,0.03413593769073486,13
