index,WR,LWR,DWS,num_cc,L,R,T,B,S_frame,S_side,S_tb,S_pos
0,0.707763671875,0.707763671875,0.8224473777438754,1.0,0.42466962337493896,0.0,0.4333224594593048,0.0,0.10723809897899628,0.8077375680208205,0.8224473893642427,0.8224473893642427
1,0.74609375,0.74609375,0.9500303021889422,1.0,0.4960942268371582,0.0,0.5002338290214539,0.0,0.1245388612151146,0.9429929912090301,0.9500303149223328,0.9500303149223328
2,0.6866455078125,0.6866455078125,0.29453375879137655,1.0,0.15835070610046387,0.0,0.09502492100000381,0.0,0.029751792550086975,0.29453376308083534,0.18687992841005327,0.29453376308083534
3,0.6866455078125,0.6866455078125,0.9122084633776372,1.0,0.48870137333869934,0.0,0.3254600465297699,0.0,0.0977579802274704,0.9122084766626358,0.6346982210874558,0.9122084766626358
4,0.66943359375,0.66943359375,0.5427183696022609,1.0,0.24163904786109924,0.0,0.28808581829071045,0.0,0.06570848077535629,0.4637588679790497,0.5427183777093888,0.5427183777093888
5,0.7298583984375,0.7298583984375,0.9268250368208422,1.0,0.49823877215385437,0.0,0.29995259642601013,0.0,0.09379575401544571,0.9268250495195389,0.5897385507822036,0.9268250495195389
6,0.7427978515625,0.7427978515625,0.9483125618582503,1.0,0.4960014224052429,0.0,0.49928468465805054,0.0,0.12440941482782364,0.9427310287952423,0.9483125746250154,0.9483125746250154
7,0.71563720703125,0.71563720703125,0.933092724159248,1.0,0.4937286674976349,0.0,0.4438113570213318,0.0,0.1168607622385025,0.933092737197876,0.8482333093881607,0.933092737197876
8,0.70831298828125,0.70831298828125,0.9266356873819573,1.0,0.49468597769737244,0.0,0.3620094060897827,0.0,0.10454855859279633,0.9266357004642487,0.7010855287313461,0.9266357004642487
9,0.74212646484375,0.74212646484375,0.9466222367285241,1.0,0.4964606463909149,0.0,0.4983201026916504,0.0,0.12434716522693634,0.9434611737728119,0.9466222494840622,0.9466222494840622
10,0.74609375,0.74609375,0.9549129685921196,1.0,0.4951058328151703,0.0,0.50300133228302,0.0,0.12475559860467911,0.9414906322956085,0.9549129813909532,0.9549129813909532
11,0.688720703125,0.688720703125,0.9215592012112409,1.0,0.49305418133735657,0.0,0.3406168818473816,0.0,0.10078110545873642,0.92155921459198,0.6624158054590226,0.92155921459198
12,0.74609375,0.74609375,0.9512625089938685,1.0,0.4960041046142578,0.0,0.5009233951568604,0.0,0.12461290508508682,0.9428997278213501,0.9512625217437745,0.9512625217437745
13,0.7757568359375,0.7757568359375,0.5067565346005122,1.0,0.26959994435310364,0.0,0.21476641297340393,0.0,0.05977476015686989,0.5067565411329269,0.41353953778743746,0.5067565411329269
14,0.68621826171875,0.68621826171875,0.9234511479274771,1.0,0.49504324793815613,0.0,0.3237331509590149,0.0,0.0979607030749321,0.9234511613845825,0.6322239965200425,0.9234511613845825
15,0.7274169921875,0.7274169921875,0.9289918771825083,1.0,0.4901481866836548,0.0,0.4672515392303467,0.0,0.11960653215646744,0.9289918899536134,0.8900675892829895,0.9289918899536134
16,0.716064453125,0.716064453125,0.9215008875187981,1.0,0.4925193786621094,0.0,0.349660187959671,0.0,0.10228565335273743,0.9215009003877639,0.6786402761936189,0.9215009003877639
17,0.67803955078125,0.67803955078125,0.7925055357160988,1.0,0.39908382296562195,0.0,0.4181095361709595,0.0,0.10209382325410843,0.7601618349552155,0.7925055474042892,0.7925055474042892
