idx,tag,num_faces,maxIoU,meanCov,maxCov,anyCover,score,overlap,area,face_inside_penalty,face_conflict_penalty,svg_penalty
0,improved_hybrid,1,0.13237756490707397,0.0,0.0,0.0,0.10840811766684055,0.010840811766684055,0.10375571250915527,0.0,0.0,0.0
1,improved_hybrid,1,0.16709719598293304,0.0,0.0,0.0,0.15002040606923395,0.014262149226851761,0.14192655682563782,0.0,0.0,0.0
2,improved_hybrid,1,0.11971450597047806,0.0,0.0,0.0,0.08786565624177456,0.008786565624177456,0.10048499703407288,0.0,0.0,0.0
3,improved_hybrid,1,0.15073341131210327,0.0,0.0,0.0,0.33250713087618344,0.0200567664578557,0.1493433266878128,0.0,0.0,0.0
4,improved_hybrid,1,0.18459099531173706,0.0,0.0,0.0,0.24322802461683765,0.02323878277093172,0.1442527174949646,0.0,0.0,0.0
5,improved_hybrid,1,0.11654279381036758,0.0,0.0,0.0,0.10770373046398163,0.010770373046398163,0.1189039945602417,0.0,0.0,0.0
6,improved_hybrid,1,0.11289535462856293,0.0,0.0,0.0,0.09233461953699604,0.008842871524393559,0.09894491732120514,0.0,0.0,0.0
7,improved_hybrid,1,0.16100743412971497,0.0,0.0,0.0,0.20617084816331044,0.00925242216908373,0.11552350223064423,0.0,0.0,0.037882208824157715
8,improved_hybrid,1,0.19231364130973816,0.0,0.0,0.0,0.3130431409925222,0.017654855735599995,0.09998311847448349,0.0,0.0,0.0
9,improved_hybrid,1,0.17897726595401764,0.0,0.0,0.0,0.22691847756505013,0.022691847756505013,0.17111676931381226,0.0,0.0,0.0
10,improved_hybrid,1,0.11046152561903,0.0,0.0,0.0,0.08859895169734955,0.008859895169734955,0.11308945715427399,0.0,0.0,0.0
11,improved_hybrid,1,0.1922065019607544,0.0,0.0,0.0,0.16239294782280922,0.016239294782280922,0.15121349692344666,0.0,0.0,0.0
12,improved_hybrid,1,0.17078794538974762,0.0,0.0,0.0,0.17215797975659364,0.015906887128949165,0.13980118930339813,0.0,0.0,0.0
13,improved_hybrid,1,0.1252412348985672,0.0,0.0,0.0,0.11577344294637457,0.007750564720481634,0.09350135922431946,0.0,0.0,0.0
14,improved_hybrid,1,0.14408345520496368,0.0,0.0,0.0,0.13617662079632276,0.012338121421635151,0.11039252579212189,0.0,0.0,0.0
15,improved_hybrid,1,0.19433748722076416,0.0,0.0,0.0,0.21543799266219132,0.016919901594519615,0.13822346925735474,0.0,0.0,0.0
16,improved_hybrid,1,0.11338834464550018,0.0,0.0,0.0,0.16268628947436803,0.010619736276566982,0.13857921957969666,0.0,0.0,0.0
17,improved_hybrid,1,0.12414407730102539,0.0,0.0,0.0,0.08007711730897427,0.008007711730897427,0.09102212637662888,0.0,0.0,0.0
18,improved_hybrid,1,0.1406879723072052,0.0,0.0,0.0,0.5370634878519924,0.018405265756882727,0.16188549995422363,0.0,0.0,0.0
19,improved_hybrid,1,0.14673201739788055,0.0,0.0,0.0,0.06980270147323608,0.006980270147323608,0.07535634934902191,0.0,0.0,0.0
20,improved_hybrid,1,0.19545863568782806,0.0,0.0,0.0,0.5902616566861979,0.025888218049658462,0.1875406801700592,0.0,0.0,0.0
21,improved_hybrid,1,0.11108661442995071,0.0,0.0,0.0,0.10751930996775627,0.010751930996775627,0.14257951080799103,0.0,0.0,0.0
22,improved_hybrid,1,0.11618827283382416,0.0,0.0,0.0,0.11280094273388386,0.011280094273388386,0.12213394045829773,0.0,0.0,0.0
23,improved_hybrid,1,0.14828331768512726,0.0,0.0,0.0,0.39615337103605264,0.02614007703959942,0.15198978781700134,0.0,0.0,0.0
24,improved_hybrid,1,0.163735494017601,0.0,0.0,0.0,0.526993572054198,0.021372168892412446,0.16714531183242798,0.0,0.0,0.0
25,improved_hybrid,1,0.1664026826620102,0.0,0.0,0.0,0.0892170425504446,0.00892170425504446,0.07546509802341461,0.0,0.0,0.0
26,improved_hybrid,1,0.11365504562854767,0.0,0.0,0.0,0.08134809322655201,0.008134809322655201,0.09784776717424393,0.0,0.0,0.0
27,improved_hybrid,1,0.13408485054969788,0.0,0.0,0.0,0.09421839378774166,0.009421839378774166,0.09900575876235962,0.0,0.0,0.0
28,improved_hybrid,1,0.14093613624572754,0.0,0.0,0.0,0.321395344287157,0.01207968033850193,0.13050606846809387,0.0,0.0,0.0
29,improved_hybrid,1,0.1463945508003235,0.0,0.0,0.0,0.21528212614357486,0.009894919581711292,0.10610424727201462,0.0,0.0,0.0
30,improved_hybrid,1,0.14948351681232452,0.0,0.0,0.0,0.10379348881542683,0.010379348881542683,0.09126314520835876,0.0,0.0,0.0
31,improved_hybrid,1,0.12936945259571075,0.0,0.0,0.0,0.12575771193951368,0.012575771193951368,0.11243979632854462,0.0,0.0,0.0
32,improved_hybrid,1,0.1557619571685791,0.0,0.0,0.0,0.5846321329474451,0.01943701133131981,0.18499650061130524,0.0,0.0,0.0
33,improved_hybrid,1,0.12428465485572815,0.0,0.0,0.0,0.5694022877141834,0.01829843921586871,0.16456159949302673,0.0,0.0,0.0
34,improved_hybrid,1,0.13203869760036469,0.0,0.0,0.0,0.16812401851639167,0.01373689784668386,0.10546478629112244,0.0,0.0,0.0
35,improved_hybrid,1,0.1892935037612915,0.0,0.0,0.0,0.43608165606856364,0.017782142385840416,0.13774630427360535,0.0,0.0,0.0
36,improved_hybrid,1,0.14843806624412537,0.0,0.0,0.0,0.08560776710510254,0.008560776710510254,0.0785006657242775,0.0,0.0,0.0
37,improved_hybrid,1,0.15472356975078583,0.0,0.0,0.0,0.26652076188474894,0.022946658078581095,0.16385604441165924,0.0,0.0,0.012351393699645996
38,improved_hybrid,1,0.15154871344566345,0.0,0.0,0.0,0.40480700845073436,0.016465102547954302,0.1546994000673294,0.0,0.0,0.0
39,improved_hybrid,1,0.12612353265285492,0.0,0.0,0.0,0.32078445656225085,0.032078445656225085,0.19772455096244812,0.0,0.0,0.0
40,improved_hybrid,1,0.1609039306640625,0.0,0.0,0.0,0.10622543282806873,0.010622543282806873,0.1211722195148468,0.0,0.0,0.0
41,improved_hybrid,1,0.14749430119991302,0.0,0.0,0.0,0.20453068725764745,0.012247215025126934,0.08545174449682236,0.0,0.0,0.0
42,improved_hybrid,1,0.16326282918453217,0.0,0.0,0.0,0.0983323622494936,0.00983323622494936,0.09234306216239929,0.0,0.0,0.0
43,improved_hybrid,1,0.14273685216903687,0.0,0.0,0.0,0.45773567426949757,0.017618559766560793,0.12394841760396957,0.0,0.0,0.0
44,improved_hybrid,1,0.17095337808132172,0.0,0.0,0.0,0.26377846747636813,0.021782636642456055,0.19471155107021332,0.0,0.0,0.0
45,improved_hybrid,1,0.17401574552059174,0.18414627015590668,0.18414627015590668,1.0,0.5144729355350136,0.02824903419241309,0.1561957597732544,0.0,0.00330645265057683,0.0
46,improved_hybrid,1,0.15500494837760925,0.0,0.0,0.0,0.5996105642989279,0.026395235676318407,0.18665488064289093,0.0,0.0,0.0
47,improved_hybrid,1,0.18313531577587128,0.0,0.0,0.0,0.4021073372103273,0.022341171512380242,0.1501898318529129,0.0,0.0,0.0
48,improved_hybrid,1,0.1364208161830902,0.0,0.0,0.0,0.08115897886455059,0.008115897886455059,0.0806940346956253,0.0,0.0,0.0
