idx,tag,num_faces,maxIoU,meanCov,maxCov,anyCover,score,overlap,area,face_inside_penalty,face_conflict_penalty,svg_penalty
0,improved_right,1,0.15083922445774078,0.0,0.0,0.0,0.1188434287905693,0.01188434287905693,0.10245496034622192,0.0,0.0,0.0
1,improved_right,1,0.1505974978208542,0.0,0.0,0.0,0.15827359408140174,0.014453601092100143,0.13110359013080597,0.0,0.0,0.0
2,improved_right,1,0.15736015141010284,0.0,0.0,0.0,0.12346993200480938,0.012346993200480938,0.10229990631341934,0.0,0.0,0.0
3,improved_right,1,0.16455577313899994,0.0,0.0,0.0,0.37722128443419933,0.03772212844341993,0.28258854150772095,0.0,0.0,0.0
4,improved_right,1,0.13389024138450623,0.0,0.0,0.0,0.19256010884419084,0.019256010884419084,0.178157240152359,0.0,0.0,0.0
5,improved_right,1,0.13440009951591492,0.0,0.0,0.0,0.11900591664016247,0.011900591664016247,0.1400037556886673,0.0,0.0,0.0
6,improved_right,1,0.12729904055595398,0.0,0.0,0.0,0.10888725519180298,0.010888725519180298,0.11772998422384262,0.0,0.0,0.0
7,improved_right,1,0.12892767786979675,0.0,0.0,0.0,0.20610570907592773,0.020610570907592773,0.18191668391227722,0.0,0.0,0.0
8,improved_right,1,0.21551351249217987,0.0,0.0,0.0,0.2633531019091606,0.02633531019091606,0.1730351746082306,0.0,0.0,0.0
9,improved_right,1,0.2036813646554947,0.0,0.0,0.0,0.30193311627954245,0.030193311627954245,0.17742671072483063,0.0,0.0,0.0
10,improved_right,1,0.12448487430810928,0.0,0.0,0.0,0.10761789046227932,0.010761789046227932,0.1176861822605133,0.0,0.0,0.0
11,improved_right,1,0.12738123536109924,0.0,0.0,0.0,0.19472644440829745,0.011898095719516277,0.1467338353395462,0.0,0.0,0.0
12,improved_right,1,0.13934504985809326,0.0,0.0,0.0,0.15726763755083084,0.015726763755083084,0.18094110488891602,0.0,0.0,0.0
13,improved_right,1,0.1750791221857071,0.0,0.0,0.0,0.18067993223667145,0.018067993223667145,0.15316958725452423,0.0,0.0,0.0
14,improved_right,1,0.1967223882675171,0.0,0.0,0.0,0.20071260631084442,0.020071260631084442,0.16578523814678192,0.0,0.0,0.0
